,date,open_p,high_p,low_p,close_p,prd_vlm,open_int
567,2017-08-03,6114.0,6127.25,6080.0,6092.75,289423,296967
568,2017-08-02,6135.75,6150.25,6059.0,6113.5,389618,295253
569,2017-08-01,6087.25,6134.0,6078.25,6092.0,229005,291309
570,2017-07-31,6112.75,6136.25,6073.0,6085.25,280483,291407
571,2017-07-28,6111.75,6121.0,6052.75,6113.0,338476,291666
572,2017-07-27,6163.75,6198.5,6047.5,6112.25,539445,289531
573,2017-07-26,6136.5,6160.75,6129.75,6150.75,190190,289058
574,2017-07-25,6128.0,6149.0,6118.5,6136.5,237095,289026
575,2017-07-24,6122.0,6157.5,6107.75,6136.75,195018,288517
576,2017-07-21,6133.5,6134.0,6093.25,6121.5,254484,284274
577,2017-07-20,6122.25,6141.25,6099.75,6128.0,265354,283347
578,2017-07-19,6098.25,6127.75,6091.75,6121.0,233290,283720
579,2017-07-18,6061.0,6101.25,6023.0,6085.5,246038,282452
580,2017-07-17,6046.25,6066.5,6034.0,6057.75,217890,278955
581,2017-07-14,6002.25,6050.5,5990.5,6046.0,230871,276031
582,2017-07-13,5989.5,6014.75,5980.0,6000.25,240958,277892
583,2017-07-12,5922.25,5992.75,5915.5,5988.5,262329,276956
584,2017-07-11,5894.75,5925.25,5870.25,5922.75,283454,278934
585,2017-07-10,5865.75,5914.25,5852.75,5896.75,241360,284075
586,2017-07-07,5801.25,5879.25,5794.25,5858.5,266767,284728
587,2017-07-06,5853.25,5855.5,5782.75,5799.5,370735,290424
588,2017-07-05,5794.0,5870.5,5763.0,5854.25,392297,287807
589,2017-07-03,5860.75,5893.5,5784.0,5792.0,232656,291208
590,2017-06-30,5851.0,5889.25,5826.25,5855.5,336513,284566
591,2017-06-29,5969.0,5978.75,5803.75,5855.75,604720,290468
592,2017-06-28,5876.5,5971.5,5834.75,5966.25,396603,280022
593,2017-06-27,5983.5,5986.75,5871.75,5879.25,418001,284978
594,2017-06-26,6005.75,6054.75,5970.75,5981.0,311741,281917
595,2017-06-23,5988.25,6018.25,5965.75,6015.0,213552,282212
596,2017-06-22,5996.0,6017.25,5973.5,5988.5,233021,283005
597,2017-06-21,5931.0,5999.25,5901.75,5998.75,319202,285856
598,2017-06-20,5969.5,5986.75,5931.75,5935.5,301241,283806
599,2017-06-19,5897.0,5985.25,5886.0,5968.75,271968,290861
600,2017-06-16,5911.75,5930.25,5863.75,5886.75,356290,300778
601,2017-06-15,5932.75,5935.25,5844.0,5912.0,435110,309424
602,2017-06-14,5965.0,5991.75,5889.75,5935.5,429542,304185
603,2017-06-13,5923.75,5971.25,5917.75,5962.0,379343,287790
604,2017-06-12,5948.75,5953.25,5846.0,5922.0,613912,246673
605,2017-06-09,6087.75,6110.25,5871.75,5951.0,685209,170856
606,2017-06-08,6089.0,6108.5,6064.0,6095.75,100340,58223
607,2017-06-07,6072.5,6095.0,6056.0,6090.0,274935,301092
608,2017-06-06,6090.5,6103.5,6058.75,6073.5,257087,298702
609,2017-06-05,6088.5,6101.5,6083.0,6091.0,177414,290913
610,2017-06-02,6034.0,6097.0,6032.25,6096.25,298205,293184
611,2017-06-01,6015.0,6034.25,5990.75,6032.25,266069,283162
612,2017-05-31,6002.75,6029.5,5974.0,6003.5,332645,283551
613,2017-05-30,6003.25,6013.75,5988.5,6002.25,197717,272648
614,2017-05-26,5991.5,6006.75,5983.0,6002.5,163404,270605
615,2017-05-25,5941.75,6005.75,5941.5,5992.25,239940,273737
616,2017-05-24,5919.75,5944.75,5915.5,5941.5,191514,268535
617,2017-05-23,5911.75,5928.75,5898.75,5921.75,219010,268181
